town,breast_cancer_rate,breast_cancer_number,HIV_rate,HIV_number,poverty_rate
SWANSEA,105,58,73.9,12,
TAUNTON,134,213,159.7,90,12.8
TEMPLETON,166.9,36,,,
TEWKSBURY,127.2,108,44.8,13,
TISBURY,215.2,29,314.2,12,
TOLLAND,0,0,,,
TOPSFIELD,161,35,210.4,13,3.4
TOWNSEND,145.8,31,,,12.7
TRURO,197.2,15,601.4,13,
TYNGSBOROUGH,198.3,48,79.7,9,
TYRINGHAM,,,,,
UPTON,144.9,24,,,12.9
UXBRIDGE,142.9,44,80.8,10,
WAKEFIELD,158.9,129,93.7,23,4.1
WALES,220.3,9,,,
WALPOLE,158.8,112,73.7,17,5.8
WALTHAM,136.6,228,320.7,191,10.1
WARE,78.4,26,80.1,8,18.4
WAREHAM,124.1,94,126.9,27,
WARREN,183.2,25,,,16.7
WARWICK,,,0,0,
WASHINGTON,,,0,0,
WATERTOWN,113.2,124,223.2,72,
WAYLAND,192,84,46.1,6,
WEBSTER,138.2,74,172.1,29,19.1
WELLESLEY,137.2,115,51.9,14,3.1
WELLFLEET,155.7,19,248.1,7,
WENDELL,125.8,5,,,
WENHAM,149.6,19,,,
WEST BOYLSTON,170.8,37,246.5,19,
WEST BRIDGEWATER,110.3,24,,,
WEST BROOKFIELD,163.3,21,128.4,5,7.3
WEST NEWBURY,107.3,14,,,
WEST SPRINGFIELD,150.1,127,164.7,46,
WEST STOCKBRIDGE,245,13,0,0,
WEST TISBURY,159.3,12,0,0,
WESTBOROUGH,139.4,66,85.2,16,2.2
WESTFIELD,148.3,170,61.8,25,9.6
WESTFORD,152.7,79,23.4,5,
WESTHAMPTON,,,0,0,
WESTMINSTER,125.3,26,81.5,6,
WESTON,156.4,59,,,
WESTPORT,147.4,72,73.1,11,
WESTWOOD,146.8,71,57.5,8,
WEYMOUTH,128.3,230,126.6,68,
WHATELY,169.8,8,0,0,
WHITMAN,130.9,48,,,
WILBRAHAM,148.9,73,43,6,4.9
WILLIAMSBURG,143.6,12,,,
WILLIAMSTOWN,103.5,27,120.8,10,4.4
WILMINGTON,175.4,101,28,6,2.4
WINCHENDON,121.6,29,49.6,5,21.7
WINCHESTER,133.9,96,47.3,10,3.4
WINDSOR,,,,,
WINTHROP,154.2,86,293,50,
WOBURN,154.2,179,161.8,60,6.2
WORCESTER,118.6,572,501.6,902,21.4
WORTHINGTON,219.8,9,0,0,
WRENTHAM,135.6,42,54.2,6,
YARMOUTH,146.2,166,109.5,27,
